Activity Id,Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
d23a13b8-d1b5-42f5-8b08-d1a7bda837ed,2018-11-18 11:35:37,Running,,1.60,14:57,9:21,6.41,196.0,157,,"","",2018-11-18-113537.gpx
3bc2200c-0279-49b9-bdfe-88396ad9e5a6,2018-10-07 06:20:38,Running,,1.88,16:41,8:53,6.76,219.0,57,,"","",2018-10-07-062038.gpx
6090742d-459a-44f1-9b3b-b9a2a22ce9e9,2018-10-06 07:26:19,Running,,2.78,25:31,9:10,6.55,342.0,132,,"","",2018-10-06-072619.gpx
c525bb16-9942-4e8f-911f-51de038f50cd,2018-09-29 08:25:23,Running,,2.54,22:04,8:42,6.90,307.0,114,,"","",2018-09-29-082523.gpx
744f6918-1009-41d6-bfe0-72562e7b7057,2018-09-17 22:53:31,Running,,2.70,1:19:11,29:18,2.05,325.0,126,,"","",2018-09-17-225331.gpx
78b399af-8783-4266-a729-fcc196c1280b,2018-09-16 11:17:21,Running,,4.01,33:51,8:27,7.10,509.0,264,,"","",2018-09-16-111721.gpx
e963c88f-7696-4050-b4f6-b7181d41adf2,2018-09-12 06:24:02,Running,,4.02,33:02,8:14,7.29,508.0,261,,"","",2018-09-12-062402.gpx
714f8404-782e-4879-b847-c6650de7faa4,2018-09-10 07:21:09,Running,,2.62,20:11,7:43,7.77,325.0,124,,"","",2018-09-10-072109.gpx
77eae7ef-4030-43ee-94cc-544f58221a92,2018-09-07 06:55:49,Running,,2.60,20:10,7:45,7.74,327.0,122,,"","",2018-09-07-065549.gpx
1a7cc9d0-7cfd-461a-9444-da8a02686309,2018-09-05 06:34:22,Running,,2.65,20:51,7:51,7.64,327.0,124,,"","",2018-09-05-063422.gpx
69404a76-173f-48d6-a27c-e7e08ea09db9,2018-09-03 06:49:24,Running,,2.60,20:50,8:01,7.49,324.0,123,,"","",2018-09-03-064924.gpx
8afa191c-92e7-4ca4-89f4-5a950b4c6ee7,2018-08-31 08:05:37,Running,,2.51,20:30,8:09,7.36,313.0,123,,"","",2018-08-31-080537.gpx
141bb40c-6343-437f-baa4-8e732d908ebd,2018-08-27 09:01:00,Running,,2.62,25:21,9:40,6.21,338.0,242,,"","",2018-08-27-090100.gpx
85a12f1f-5380-4007-aea7-72559756eb2e,2018-08-25 10:12:50,Running,,2.76,22:57,8:18,7.22,328.0,46,,"","",2018-08-25-101250.gpx
d3aaa927-136f-4275-9c1a-4bfa2123933c,2018-08-22 07:15:53,Running,,2.77,20:48,7:30,8.00,330.0,47,,"","",2018-08-22-071553.gpx
c3677874-71c8-489d-aefd-747e7e1e50b0,2018-08-18 10:18:52,Running,,2.85,24:13,8:30,7.06,339.0,51,,"","",2018-08-18-101852.gpx
a961e873-24ec-41ec-9668-4704dc04c5ec,2018-08-17 07:10:12,Running,,2.76,22:47,8:16,7.26,330.0,48,,"","",2018-08-17-071012.gpx
00e31d51-2cbf-4e8e-97b8-09b61874d962,2018-08-15 06:30:25,Running,,2.80,21:33,7:42,7.79,331.0,50,,"","",2018-08-15-063025.gpx
