Task ID,Created At,Completed At,Last Modified,Name,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent Task
148623786710031,2018-04-15,2018-04-15,2018-04-15,More debt,,,,,,,School,
148623786710030,2018-04-06,2018-04-07,2018-04-07,Send one line email to erik to add you to the independent study list,,,,,,,School,
610060357624798,2018-03-27,2018-03-27,2018-03-27,withdraw from study abroad,,,,,,,School,
588106896688257,2018-03-09,2018-03-26,2018-03-26,hold,,,,,,,School,
570162249229318,2018-02-22,2018-02-23,2018-02-23,find joydeep,,,,2018-02-23,,,School,
610060357624799,2018-03-27,2018-03-27,2018-03-27,email Giuseppe about possible different project,,,,,,,School,
606859251936885,2018-03-24,2018-03-25,2018-03-25,cancel alexa,,,,2018-03-30,,,School,
547606069522799,2018-02-05,2018-02-09,2018-02-09,go to abroad advising,,,,,,,School,
567558658082908,2018-02-21,2018-02-21,2018-02-21,email parents about DC travel and summer plans,,,,,,,School,
577506655960588,2018-03-01,2018-03-02,2018-03-02,email about datafest,,,,,,,School,
563270967554529,2018-02-17,2018-02-20,2018-02-20,bring syllubi and sheet to CS dept,,,,2018-02-20,,,School,
553224235175778,2018-02-08,2018-02-13,2018-02-13,send absence letter,,,,2018-02-13,,,School,
533042920342892,2018-01-23,2018-01-23,2018-01-23,survey thing (in email),,,,,,,School,
563270967554531,2018-02-17,2018-02-17,2018-02-17,reply to joydeep,,,,2018-02-17,,,School,
553224235175779,2018-02-08,2018-02-11,2018-02-11,email entrepreneurship stuff,,,,,,,School,
610060357624801,2018-03-27,2018-04-01,2018-04-01,register for summer spanish class,,,,,,,School,
553224235175780,2018-02-08,2018-02-08,2018-02-08,remote.com profile,,,,,,,School,
615034337312075,2018-04-01,,2018-04-01,register for summer classes,,,,,,,School,
553224235175781,2018-02-08,2018-02-08,2018-02-08,devpost.com profile,,,,,,,School,
623522970339016,2018-04-07,,2018-04-07,email advisor apology for harshness,,,,,,,School,
623592038418688,2018-04-08,2018-04-09,2018-04-09,email eric sommers about classes,,,,,,,School,
626230356716741,2018-04-09,2018-04-12,2018-04-12,reply to giuseppe,,,,2018-04-11,,,School,
532130324724469,2018-01-22,,2018-02-26,CS 230:,,,,,,,School,
574865979423414,2018-02-27,2018-02-27,2018-02-27,copy over good pictures from lecture 10,,,,2018-02-27,,,School,
615034337312079,2018-04-01,2018-04-07,2018-04-07,project,,,,2018-04-09,,,School,
578148784387386,2018-03-01,2018-03-13,2018-03-13,Binary Bomb,,,,2018-03-19,,,School,
557152546465540,2018-02-12,2018-02-12,2018-02-12,project,,,,2018-02-19,,,School,
570767210754418,2018-02-23,2018-02-24,2018-02-24,quiz,,,,2018-02-26,,,School,
547606069522800,2018-02-05,2018-02-11,2018-02-11,project 2,,,,2018-02-12,,,School,
533773919604158,2018-01-23,2018-01-24,2018-01-24,get book,,,,,,https://www.amazon.com/dp/9332573905/,School,
615034337312074,2018-04-01,2018-04-01,2018-04-01,,,,,,,,School,
572780697795634,2018-02-26,2018-03-04,2018-03-04,Project 05 Huffman,,,,2018-03-05,,,School,
537979204720381,2018-01-28,2018-01-30,2018-01-30,project,,,,2018-02-05,,,School,
634209494818661,2018-04-14,,2018-04-14,project,,,,2018-04-27,,,School,
597517705500184,2018-03-17,2018-03-22,2018-03-22,exam study sheet,,,,2018-03-21,,,School,
598288609997738,2018-03-19,2018-03-22,2018-03-22,project,,,,2018-03-26,,,School,
634209494818662,2018-04-14,2018-04-15,2018-04-15,lecture notes,,,,2018-04-14,,,School,
555262873401860,2018-02-10,2018-02-17,2018-02-17,notes,,,,2018-02-13,,,School,
573540148212352,2018-02-26,2018-02-27,2018-02-27,quiz,,,,2018-03-05,,,School,
