Task ID,Created At,Completed At,Last Modified,Name,Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent Task
949672124046393,2018-12-17,2018-12-19,2018-12-19,training script to take only outputs for annot with 4 vertices form .npy files,Research,,,,,,,UMass,
949607828976735,2018-12-17,2018-12-18,2018-12-18,make generate preds output .npy file with preds and other with scores,Research,,,,,,,UMass,
949607828976733,2018-12-17,2018-12-18,2018-12-18,option for generate preds script for not rotated images,Research,,,,,,,UMass,
949607828976731,2018-12-17,2018-12-18,2018-12-18,make generate preds scripts output rboxes instead of horizontally alligned,Research,,,,,,,UMass,
949607828976727,2018-12-17,2018-12-18,2018-12-18,nms,Research,,,,,,,UMass,
949607828976725,2018-12-17,2018-12-18,2018-12-18,generate rbox preds for pretrained and finetuned on all images (not rotated),Research,,,,,,,UMass,
947908745851887,2018-12-15,2018-12-15,2018-12-15,rerun evaluation using all images,Research,,,,,,,UMass,
947908745851885,2018-12-15,2018-12-15,2018-12-15,script to convert txt annotations to npy,Research,,,,,,,UMass,
947869899081264,2018-12-15,2018-12-15,2018-12-15,compare annotations when drawn on map,Research,,,,,,,UMass,
947869899081262,2018-12-15,2018-12-15,2018-12-15,clean up notebook to draw annotations on specific image,Research,,,,,,,UMass,
947869899081260,2018-12-15,2018-12-15,2018-12-15,download both evaluation annotations,Research,,,,,,,UMass,
944981431922390,2018-12-12,2018-12-15,2018-12-15,evaluate on our maps,Research,,,,,,,UMass,
944981431922388,2018-12-12,2018-12-15,2018-12-15,evaluate on synthtext,Research,,,,,,,UMass,
943682422191436,2018-12-11,2018-12-20,2018-12-20,compile weekly notes for paper,Research,,,,2018-12-15,,,UMass,
939414889497097,2018-12-08,2018-12-09,2018-12-09,15.3 notes,Math 551,,,,,,,UMass,
936817143591229,2018-12-06,2018-12-11,2018-12-11,hw6,CS 383,,,,2018-12-12,,,UMass,
884979504873281,2018-12-05,2018-12-05,2018-12-05,Fix up hw prob about midpoint with stuff from lecture,Math 551,,,,,,,UMass,
930203343095474,2018-12-01,2018-12-03,2018-12-03,quiz,CS 311,,,,2018-12-03,,,UMass,
929746913687946,2018-11-30,2018-12-04,2018-12-04,hw6,Math 551,,,,2018-12-12,,,UMass,
929746913687942,2018-11-30,2018-12-12,2018-12-12,hw6,CS 311,,,,2018-12-12,,,UMass,
927714744200466,2018-11-29,2018-11-29,2018-11-29,print tarea,Spanish 322,,,,2018-11-30,,,UMass,
884979504873279,2018-11-27,2018-11-29,2018-11-29,Email dobson about taking final during other session,Math 551,,,,,,,UMass,
916827097784108,2018-11-20,2018-11-29,2018-11-29,revise essay,Spanish 322,,,,2018-11-30,,,UMass,
916827097784106,2018-11-20,2018-11-27,2018-11-27,notes,CS 311,,,,,,,UMass,
914809997248623,2018-11-18,2018-11-22,2018-11-22,hw 5,Math 551,,,,2018-11-28,,,UMass,
914691225687375,2018-11-17,2018-12-06,2018-12-06,extra credit hw,CS 311,,,,2018-12-06,,,UMass,
911469967692523,2018-11-14,2018-12-11,2018-12-11,attempt to train with SSD TBPP with transfer learning and transfer learning,Research,,,,,,,UMass,
909791698607285,2018-11-13,2018-11-20,2018-11-20,tarea 5,Spanish 322,,,,2018-11-30,,,UMass,
884979504873278,2018-11-12,2018-11-13,2018-11-13,Revert generate preds script to naive version but add angles for loop,Research,,,,,,,UMass,
884979504873276,2018-11-12,2018-11-13,2018-11-13,Check diff for breaninf changes on data generators,Research,,,,,,,UMass,
905753511942254,2018-11-11,2018-11-20,2018-11-20,ch 8 notes,Math 551,,,,,,,UMass,
905753511942252,2018-11-11,2018-11-18,2018-11-18,ch 6 notes,Math 551,,,,,,,UMass,
905602968667652,2018-11-10,2018-11-30,2018-11-30,read,Spanish 322,,,,,,,UMass,
905602968667650,2018-11-10,2018-11-29,2018-11-29,hw 5,CS 383,,,,2018-11-30,,,UMass,
905602968667648,2018-11-10,2018-11-13,2018-11-13,quiz 10,CS 311,,,,2018-11-13,,,UMass,
905343190732732,2018-11-09,2018-11-10,2018-11-10,run crop images putting images in work1 (also will take a while),Research,,,,,,,UMass,
905343190732730,2018-11-09,2018-11-10,2018-11-10,run datagenerator putting images in work1 (will take a while),Research,,,,,,,UMass,
905343190732728,2018-11-09,2018-11-10,2018-11-10,modify DataGenerator to output arbitrary length polygons,Research,,,,,,,UMass,
898059067842412,2018-11-05,2018-11-09,2018-11-09,proofread and print tarea 4,Spanish 322,,,,2018-11-09,,,UMass,
895675703446578,2018-11-04,2018-11-05,2018-11-05,tarea 4,Spanish 322,,,,2018-11-09,,,UMass,
884979504873275,2018-11-03,2018-11-05,2018-11-05,Quiz 9,CS 311,,,,2018-11-05,,,UMass,
895149329049061,2018-11-02,2018-11-09,2018-11-09,try to match data format of synthtext for map data,Research,,,,2018-11-02,,,UMass,
893899813284691,2018-11-01,2018-11-15,2018-11-15,hw 5,CS 311,,,,2018-11-16,,,UMass,
887036781195665,2018-10-29,2018-11-02,2018-11-02,read capitulo xii,Spanish 322,,,,,,,UMass,
887036781195663,2018-10-29,2018-10-31,2018-10-31,7.6 notes,Math 551,,,,,,,UMass,
885135771493951,2018-10-28,2018-11-09,2018-11-09,hw 4,Math 551,,,,2018-11-09,,http://people.math.umass.edu/~dobson/Math551/homework4.pdf,UMass,
885062636170586,2018-10-27,2018-10-30,2018-10-30,quiz 8,CS 311,,,,2018-10-29,,,UMass,
885062636170584,2018-10-27,2018-11-04,2018-11-04,hw 4,CS 383,,,,2018-11-05,,,UMass,
