Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent Task
1153735424937113,2019-12-12,2019-12-18,2019-12-18,final,Spanish 382,,,,2019-12-18,,,UMass,
1153125757074713,2019-12-09,2019-12-14,2019-12-14,Textbook & Pre-registration Information,IPO,,,,,,,UMass,
1153029427743793,2019-12-09,2019-12-16,2019-12-16,Homestay Agreement,IPO,,,,2019-12-27,,,UMass,
1151806610703835,2019-11-30,2019-12-02,2019-12-02,set up exam online to free up time for education abroad meeting,StockSch 100,,,,2019-12-02,,,UMass,
1151806610703833,2019-11-30,2019-12-10,2019-12-10,final poster,CS 585,,,,2019-12-10,,,UMass,
1150920518585329,2019-11-24,2019-11-24,2019-11-24,hw 3,CS 585,,,,2019-12-05,,,UMass,
1150874329725587,2019-11-22,2019-12-11,2019-12-11,PSA,Spanish 382,,,,2019-12-10,,,UMass,
1150874329725585,2019-11-22,2019-12-19,2019-12-19,final report,CS 585,,,,2019-12-19,,,UMass,
1150341970973545,2019-11-20,2019-12-13,2019-12-13,email consulate for VISA,IPO,,,,2019-12-13,,,UMass,
1150145360513233,2019-11-18,2019-11-20,2019-11-20,pick up forms from Solas and deliver to withmore,IPO,,,,2019-11-20,,,UMass,
1149900128211705,2019-11-17,2019-11-20,2019-11-20,Luis Argueta (dir). abUSed. The Postville Raid.,Spanish 417,,,,2019-11-20,,,UMass,
1149872939204881,2019-11-16,2019-12-12,2019-12-12,milestone 5,CS 325,,,,2019-12-12,,,UMass,
1142545671153068,2019-11-14,2019-11-17,2019-11-17,Listen to podcast,Spanish 417,,,,2019-11-18,,,UMass,
1149370282018143,2019-11-13,2020-01-01,2020-01-01,ensure vaccinations,IPO,,,,,,https://wwwnc.cdc.gov/travel/destinations/traveler/extended_student/spain?s_cid=ncezid-dgmq-travel-single-001,UMass,
1149370282018141,2019-11-13,2019-12-13,2019-12-13,trabajo final,Spanish 417,,,,2019-12-16,,,UMass,
1149370282018139,2019-11-13,2019-11-15,2019-11-15,change script to every 5 minutes,IPO,,,,2019-11-14,,,UMass,
1149370282018137,2019-11-13,2019-11-20,2019-11-20,make sure housing is cancelled,IPO,,,,,,,UMass,
1142545671153067,2019-11-12,2019-12-02,2019-12-02,Spanish in community Spanish Consulate),Spanish 382,,,,2019-12-03,,,UMass,
1148814819396019,2019-11-10,2019-11-13,2019-11-13,user prototype test,CS 325,,,,2019-11-12,,,UMass,
1148814819396017,2019-11-10,2019-11-10,2019-11-10,reading 1,Spanish 417,,,,2019-11-11,,,UMass,
1142545671153066,2019-11-06,2019-11-10,2019-11-10,Final proposal,Spanish 417,,,,2019-11-16,,,UMass,
1148241998821675,2019-11-06,2019-11-06,2019-11-06,State Dept STEP,IPO,,,,2019-11-06,,,UMass,
1148241998821673,2019-11-05,2019-11-06,2019-11-06,reading,Spanish 417,,,,2019-11-06,,,UMass,
1148027264565673,2019-11-04,2019-11-06,2019-11-06,5 discussion posts,StockSch 100,,,,2019-11-08,,,UMass,
1147790720879877,2019-11-03,2019-11-03,2019-11-03,news reply,Spanish 417,,,,2019-11-04,,,UMass,
1147790720879875,2019-11-03,2019-11-03,2019-11-03,news story,Spanish 417,,,,2019-11-04,,,UMass,
1147790720879873,2019-11-03,2019-11-04,2019-11-04,call consolate,IPO,,,,2019-11-04,,,UMass,
