Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent Task
1174557831942041,2020-05-06,2020-05-12,2020-05-12,proyecto,Español Avanzado,,,,2020-05-12,,,UMass,
1172865656868401,2020-04-25,2020-04-25,2020-04-25,deberes 23 de abril,Español Avanzado,,,,2020-04-27,,,UMass,
1172298200543141,2020-04-21,2020-04-22,2020-04-22,A DEBATE: el ejercicio 1 de la página 92.,Español Avanzado,,,,2020-04-21,,,UMass,
1170266819792865,2020-04-07,2020-04-15,2020-04-15,requiem paper,Español Avanzado,,,,2020-04-15,,,UMass,
1170100282544665,2020-04-06,2020-04-06,2020-04-06,"A DEBATE TEMA 7: LA LITERATURA TAMBIÉN ESTÁ EN LA CALLE

Pág. 78 y 79 ej. 1 a LA ENTREVISTA.

Contestar a las preguntas que aparecen en la sección “ahora tú”.

Pág. 79 ej. 1.b (relacionar cada pregunta con su respuesta)

Pág. 79 ej. 1.c AUDIO (escucha y comprueba)",Español Avanzado,,,,2020-04-06,,,UMass,
1170100282544667,2020-04-06,2020-04-06,2020-04-06, VERBOS DE CAMBIO esquema,Español Avanzado,,,,2020-04-06,,,UMass,
1170100282544669,2020-04-06,2020-04-06,2020-04-06,copy reading notes,Español Avanzado,,,,2020-04-06,,,UMass,
1169653894438953,2020-04-02,2020-04-02,2020-04-02,supersticiones,Español Avanzado,,,,2020-04-02,,,UMass,
1169653894438955,2020-04-02,2020-04-02,2020-04-02,"A DEBATE TEMA 7: Pág. 76 lee las cuestiones previas.

Pág. 77 comenta una de las afirmaciones que aparecen en dicha página.(entregarlo por escrito)",Español Avanzado,,,,2020-04-02,,,UMass,
1169653894438957,2020-04-02,2020-04-15,2020-04-15,study a bit,Español Avanzado,,,,2020-04-15,,,UMass,
1169653894438959,2020-04-02,2020-04-02,2020-04-02,copy Requiem notes,Español Avanzado,,,,2020-04-02,,,UMass,
1169427965402706,2020-04-01,2020-04-01,2020-04-01,USO TEMA 14 ejercicio 2 y 3 with colores,Español Avanzado,,,,2020-04-01,,,UMass,
1169176334474607,2020-03-31,2020-03-31,2020-03-31,"A DEBATE TEMA 6: ¿TRABAJAR PARA VIVIR O VIVIR PARA TRABAJAR?

Pág. 69 ej. 3 (sustantivos, sinónimos, adjetivos derivados)

Pág. 69 ej. 4 expresiones",Español Avanzado,,,,2020-03-31,,,UMass,
1169427965402708,2020-04-01,2020-04-01,2020-04-01,correct these ^^^^,Español Avanzado,,,,2020-04-01,,,UMass,
1169427965402710,2020-04-01,2020-04-01,2020-04-01,"A DEBATE TEMA 6 Pág. 71 ej. 2.a (refranes relacionados con el trabajo)

Pág. 71 ej. 2.b ¿Qué refrán usarías en cada una de las situaciones?

Pág. 71 contestar la sección: “ahora tú”.",Español Avanzado,,,,2020-04-01,,,UMass,
1169176334474605,2020-03-31,2020-03-31,2020-03-31, ¿Y tú qué opinas?,Español Avanzado,,,,2020-03-31,,,UMass,
1169176334474601,2020-03-31,2020-03-31,2020-03-31,fix requiem vocab to ue spanish,Español Avanzado,,,,2020-03-31,,,UMass,
1169427965402712,2020-04-01,2020-04-01,2020-04-01,copy requiem notes,Español Avanzado,,,,2020-04-01,,,UMass,
1165980076518977,2020-03-11,2020-03-26,2020-03-26,read 71-86,Español Avanzado,,,,2020-03-25,,,UMass,
1168014641214729,2020-03-24,2020-03-26,2020-03-26,read 87-101,Español Avanzado,,,,2020-03-25,,,UMass,
1165741035143169,2020-03-10,2020-03-10,2020-03-10,correct essay,Español Avanzado,,,,2020-03-11,,,UMass,
1165741035143171,2020-03-10,2020-03-11,2020-03-11,read desc of author pg 1-6,Español Avanzado,,,,2020-03-11,,,UMass,
1168014641214731,2020-03-24,2020-03-26,2020-03-26,read 102-116,Español Avanzado,,,,2020-03-26,,,UMass,
1168014641214733,2020-03-24,2020-03-28,2020-03-28,read 117-131,Español Avanzado,,,,2020-03-27,,,UMass,
1168014641214735,2020-03-24,2020-03-28,2020-03-28,read 132-146,Español Avanzado,,,,2020-03-27,,,UMass,
1164381392611121,2020-03-02,2020-03-02,2020-03-02,"TEMA 2: 1, 2, 3, 5",Español Avanzado,,,,2020-03-03,,,UMass,
1164115963233587,2020-02-28,2020-03-02,2020-03-02,tildes,Español Avanzado,,,,2020-03-02,,,UMass,
1163549793396913,2020-02-25,2020-02-25,2020-02-25,"USO TEMA 7 ej. 4, 5 y 6",Español Avanzado,,,,2020-02-26,,,UMass,
1163055182284393,2020-02-21,2020-02-21,2020-02-21,por para ejercicios,Español Avanzado,,,,2020-02-25,,,UMass,
1162549121651367,2020-02-18,2020-02-19,2020-02-19,send trabajo del libro,Español Avanzado,,,,2020-02-19,,,UMass,
1162549121651361,2020-02-18,2020-02-18,2020-02-18,"USO TEMA 7 ej. 1, 2 y 3",Español Avanzado,,,,2020-02-19,,,UMass,
1162311851881425,2020-02-17,2020-02-18,2020-02-18,frases,Español Avanzado,,,,2020-02-18,,,UMass,
1162158619692251,2020-02-16,2020-02-19,2020-02-19,un esquema del proyecto,Español Avanzado,,,,2020-02-20,,,UMass,
1162158619692249,2020-02-16,2020-02-17,2020-02-17,touch up hija doc,Español Avanzado,,,,2020-02-19,,,UMass,
1161771037053161,2020-02-13,2020-02-16,2020-02-16,hija de la luna document,Español Avanzado,,,,2020-02-17,,,UMass,
1161771037053165,2020-02-13,2020-02-18,2020-02-18,hija de la luna presentation,Español Avanzado,,,,2020-02-19,,,UMass,
1161771037053163,2020-02-13,2020-03-02,2020-03-02,project,Español Avanzado,,,,2020-02-27,,,UMass,
1161056704902755,2020-02-09,2020-02-09,2020-02-09,cap 17,Español Avanzado,,,,2020-02-11,,,UMass,
1161056704902753,2020-02-09,2020-02-09,2020-02-09,cap 16,Español Avanzado,,,,2020-02-11,,,UMass,
1160814997214393,2020-02-06,2020-02-08,2020-02-08,cap 13,Español Avanzado,,,,2020-02-10,,,UMass,
1160814997214395,2020-02-06,2020-02-08,2020-02-08,cap 14,Español Avanzado,,,,2020-02-10,,,UMass,
1160814997214397,2020-02-06,2020-02-09,2020-02-09,cap 15,Español Avanzado,,,,2020-02-10,,,UMass,
1160814997214399,2020-02-06,2020-02-09,2020-02-09,cap 15 presentación,Español Avanzado,,,,2020-02-10,,,UMass,
1160406411884057,2020-02-04,2020-02-06,2020-02-06,capítulo 12 resumen,Español Avanzado,,,,2020-02-07,,,UMass,
1142545671153095,2020-02-04,2020-02-04,2020-02-04,VERBOS DEL GRUPO II: Ej. 1 -frases y 2 completar ejercicio,Español Avanzado,,,,2020-02-05,,,UMass,
1142545671153094,2020-02-04,2020-02-04,2020-02-04,Capítulo 12,Español Avanzado,,,,2020-02-05,,,UMass,
1160035374340273,2020-02-03,2020-02-03,2020-02-03,capítulo 11,Español Avanzado,,,,2020-02-04,,,UMass,
1160035374340275,2020-02-03,2020-02-06,2020-02-06,estudiar,Español Avanzado,,,,2020-02-06,,,UMass,
1142545671153089,2020-01-29,2020-01-30,2020-01-30,Capítulo 9 resumen,Español Avanzado,,,,2020-01-31,,,UMass,
